2025-10-26 18:15:30.142 GMT [1434657] LOG:  starting PostgreSQL 16.10 on x86_64-redhat-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit
2025-10-26 18:15:30.143 GMT [1434657] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-10-26 18:15:30.145 GMT [1434657] FATAL:  could not create lock file "/var/run/postgresql/.s.PGSQL.5432.lock": Permission denied
2025-10-26 18:15:30.147 GMT [1434657] LOG:  database system is shut down
2025-10-26 18:42:00.448 GMT [1530949] LOG:  starting PostgreSQL 16.10 on x86_64-redhat-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit
2025-10-26 18:42:00.448 GMT [1530949] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-10-26 18:42:00.451 GMT [1530949] FATAL:  could not create lock file "/var/run/postgresql/.s.PGSQL.5432.lock": Permission denied
2025-10-26 18:42:00.453 GMT [1530949] LOG:  database system is shut down
2025-10-26 18:58:02.403 GMT [1589380] LOG:  starting PostgreSQL 16.10 on x86_64-redhat-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit
2025-10-26 18:58:02.403 GMT [1589380] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-10-26 18:58:02.405 GMT [1589380] FATAL:  could not create lock file "/usr/bin/psql/.s.PGSQL.5432.lock": Not a directory
2025-10-26 18:58:02.407 GMT [1589380] LOG:  database system is shut down
2025-10-26 19:05:33.962 GMT [1616512] LOG:  starting PostgreSQL 16.10 on x86_64-redhat-linux-gnu, compiled by gcc (GCC) 11.5.0 20240719 (Red Hat 11.5.0-5), 64-bit
2025-10-26 19:05:33.962 GMT [1616512] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2025-10-26 19:05:33.970 GMT [1616512] LOG:  listening on Unix socket "/dcs/23/u5503037/CS344/pgsock/.s.PGSQL.5432"
2025-10-26 19:05:33.978 GMT [1616516] LOG:  database system was shut down at 2025-10-26 18:12:34 GMT
2025-10-26 19:05:33.986 GMT [1616512] LOG:  database system is ready to accept connections
2025-10-26 19:10:34.061 GMT [1616514] LOG:  checkpoint starting: time
2025-10-26 19:10:38.439 GMT [1616514] LOG:  checkpoint complete: wrote 46 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.353 s, sync=0.014 s, total=4.378 s; sync files=11, longest=0.013 s, average=0.002 s; distance=277 kB, estimate=277 kB; lsn=0/1588F38, redo lsn=0/1588F00
2025-10-26 19:20:34.610 GMT [1616514] LOG:  checkpoint starting: time
2025-10-26 19:22:10.150 GMT [1616514] LOG:  checkpoint complete: wrote 956 buffers (5.8%); 0 WAL file(s) added, 0 removed, 0 recycled; write=95.511 s, sync=0.021 s, total=95.541 s; sync files=300, longest=0.011 s, average=0.001 s; distance=4463 kB, estimate=4463 kB; lsn=0/19E4D50, redo lsn=0/19E4D18
2025-10-26 19:23:35.734 GMT [1616512] LOG:  received fast shutdown request
2025-10-26 19:23:35.736 GMT [1616512] LOG:  aborting any active transactions
2025-10-26 19:23:35.738 GMT [1616512] LOG:  background worker "logical replication launcher" (PID 1616519) exited with exit code 1
2025-10-26 19:23:35.738 GMT [1616514] LOG:  shutting down
2025-10-26 19:23:35.747 GMT [1616514] LOG:  checkpoint starting: shutdown immediate
