                            stat         r  weighted_l2_diff      grad
0                       match_id  0.008900         59.236258  0.000042
1                          score  0.833942         18.041244  1.412911
2                      half_time  0.634903         35.360810  1.025586
3             time_in_possession  0.512705         43.668517  0.914105
4                       all_runs  0.512213         43.698392  0.915722
5                 all_run_metres  0.661928         33.284603  1.155496
6            post_contact_metres  0.427643         48.407057  0.743043
7                    line_breaks  0.633014         35.502700  1.084315
8                  tackle_breaks  0.475692         45.835713  0.783863
9           average_set_distance  0.386221         50.404191  0.685722
10            kick_return_metres  0.483321         45.402334  0.809328
11                      offloads  0.136551         58.136334  0.227645
12                      receipts  0.442746         47.628287  0.771247
13                  total_passes  0.344110         52.226123  0.587699
14                  dummy_passes  0.038294         59.154075  0.063043
15                         kicks  0.200720         56.854218  0.346747
16                kicking_metres  0.064344         58.995682  0.109847
17              forced_drop_outs  0.088483         58.777139  0.149446
18                         bombs  0.194363         57.003008  0.315512
19                      grubbers  0.138522         58.104209  0.229939
20                  forty_twenty  0.201832          6.918729  0.321483
21                  tackles_made -0.359053         51.603678 -0.624802
22                missed_tackles -0.476255         45.804008 -0.781918
23                    intercepts  0.110882         58.512596  0.185758
24           ineffective_tackles -0.085274         58.810170 -0.139961
25                        errors -0.131971         58.209193 -0.225524
26            penalties_conceded -0.031654         59.181591 -0.053839
27            ruck_infringements -0.052350         59.078600 -0.089773
28             inside_ten_metres  0.010425         59.234511  0.018231
29             interchanges_used -0.010644         59.234237 -0.016227
30               completion_rate  0.289972         54.259761  0.498012
31       average_play_ball_speed  0.094222         58.715019  0.161061
32                  kick_defusal  0.112042         58.497270  0.191256
33              effective_tackle  0.233460         56.012109  0.407789
34                         tries  0.805710         20.783573  1.389221
35                   conversions  0.761680         24.871967  1.255655
36            conversions_missed  0.210564         56.614382  0.359861
37                 penalty_goals  0.255238         55.381624  0.450145
38          penalty_goals_missed -0.042437         59.134262 -0.082704
39                      sin_bins  0.002678         59.240525  0.004172
40                    on_reports -0.158681         57.749289 -0.270266
41         one_point_field_goals  0.035420         59.166626  0.055111
42  one_point_field_goals_missed  0.020767         58.284468  0.033324
43         two_point_field_goals  0.034452         59.170633  0.057306
44  two_point_field_goals_missed  0.046898         58.494508  0.077461
